symbol,strategy,initial_capital,final_capital,total_return,trades,sharpe_ratio,max_drawdown,error
AAPL,MovingAverage,$2000.00,$1947.17,-2.64%,2,-2.747878605748358,-4.90%,
AAPL,MovingAverage_ML,$2000.00,$1981.23,-0.94%,1,-3.4027218792967604,-1.97%,
AAPL,LSTM,$2000.00,$2001.28,0.06%,1,0.2380556903229819,-0.46%,
AAPL,LLM,$2000.00,$0.00,0.00%,"[{'timestamp': 20, 'action': 'BUY', 'price': 196.68333128957525, 'quantity': 9.660198388660834, 'capital': 100.0}]",0.0,0.00%,
AAPL,Transformer,$2000.00,$0.00,0.00%,0,0.0,0.00%,Preprocessing resulted in empty dataset
MSFT,MovingAverage,$2000.00,$2025.60,1.28%,1,2.161084248443722,-2.18%,
MSFT,MovingAverage_ML,$2000.00,$2003.25,0.16%,1,2.2143034854534873,0.00%,
MSFT,LSTM,$2000.00,$0.00,0.00%,0,0.0,0.00%,Backtest error: math domain error
MSFT,LLM,$2000.00,$0.00,0.00%,"[{'timestamp': 20, 'action': 'BUY', 'price': 442.95806224299014, 'quantity': 4.289345114025109, 'capital': 100.0}]",0.0,0.00%,
MSFT,Transformer,$2000.00,$0.00,0.00%,0,0.0,0.00%,Preprocessing resulted in empty dataset
GOOGL,MovingAverage,$2000.00,$2065.47,3.27%,1,4.055896387830316,-1.64%,
GOOGL,MovingAverage_ML,$2000.00,$1977.25,-1.14%,1,-2.7823224908289896,-2.75%,
GOOGL,LSTM,$2000.00,$0.00,0.00%,0,0.0,0.00%,Backtest error: math domain error
GOOGL,LLM,$2000.00,$0.00,0.00%,"[{'timestamp': 20, 'action': 'BUY', 'price': 197.14795426350534, 'quantity': 9.637431984003674, 'capital': 100.0}]",0.0,0.00%,
GOOGL,Transformer,$2000.00,$0.00,0.00%,0,0.0,0.00%,Preprocessing resulted in empty dataset
BTC-USD,MovingAverage,$2000.00,$1963.42,-1.83%,1,-2.519902786275189,-2.59%,
BTC-USD,MovingAverage_ML,$2000.00,$1935.78,-3.21%,1,-62.66897873898886,-1.33%,
BTC-USD,LSTM,$2000.00,$0.00,0.00%,0,0.0,0.00%,Backtest error: math domain error
BTC-USD,LLM,$2000.00,$0.00,0.00%,"[{'timestamp': 20, 'action': 'BUY', 'price': 165.28362123359412, 'quantity': 11.495391895575327, 'capital': 100.0}]",0.0,0.00%,
BTC-USD,Transformer,$2000.00,$0.00,0.00%,0,0.0,0.00%,Preprocessing resulted in empty dataset
ETH-USD,MovingAverage,$2000.00,$2116.64,5.83%,1,7.076984844892316,-3.12%,
ETH-USD,MovingAverage_ML,$2000.00,$2007.02,0.35%,1,12.359186161943345,0.00%,
ETH-USD,LSTM,$2000.00,$0.00,0.00%,0,0.0,0.00%,Backtest error: math domain error
ETH-USD,LLM,$2000.00,$0.00,0.00%,"[{'timestamp': 20, 'action': 'BUY', 'price': 59.928107669044344, 'quantity': 31.704655359599123, 'capital': 100.0}]",0.0,0.00%,
ETH-USD,Transformer,$2000.00,$0.00,0.00%,0,0.0,0.00%,Preprocessing resulted in empty dataset
