Symbol,Score,Price,Volatility,RSI,Recent Trend,Volume Trend,MovingAverage Signal,LSTM Signal,MSI Signal,Transformer Signal
SUSHI-USD,38.17154473509822,0.61638,0.6135201335540543,53.255500267600134,13.417620163578459,1.634308947019644,HOLD,HOLD,HOLD,HOLD
BAT-USD,35.182305110957124,0.14085,0.5152498512891328,56.4118773590168,13.998012002697369,1.036461022191425,HOLD,HOLD,HOLD,HOLD
CRV-USD,35.11329883021662,0.6835315,1.0008597392941683,62.73795584397263,15.967847332193497,1.0226597660433236,HOLD,HOLD,HOLD,HOLD
YFI-USD,35.085779815656124,5240.168,0.5549351166190222,60.67090548830138,19.766278421956574,1.0171559631312244,HOLD,HOLD,HOLD,HOLD
SOL-USD,35.0,144.964,0.6187541845463469,58.1069948084895,12.462857945574868,0.3852053601938269,HOLD,HOLD,HOLD,HOLD
LINK-USD,35.0,13.605,0.6959112213604277,56.12692865058394,11.882944121002591,0.38310746722605915,HOLD,HOLD,HOLD,HOLD
LTC-USD,35.0,83.003,0.5280968098984309,56.75425191469052,11.302026286027434,0.7882765955800787,HOLD,HOLD,HOLD,HOLD
BCH-USD,35.0,358.26,0.570996788073363,57.80090892642378,10.825048731230801,0.7989238035951238,HOLD,HOLD,HOLD,HOLD
GRT-USD,35.0,0.0915298,0.6733823945972072,59.09652214912773,17.907532747825883,0.9682670494695227,HOLD,HOLD,HOLD,HOLD
MKR-USD,35.0,1541.305,0.7151069585578547,69.61764136952738,11.414631814317545,0.8594370351885963,HOLD,HOLD,HOLD,HOLD
AVAX-USD,34.70470784451143,19.8143,0.7618773168102773,50.17501677477073,8.3475148693549,1.271438595031306,HOLD,HOLD,HOLD,HOLD
BTC-USD,34.66076876973893,94557.0665,0.383391719804903,72.03538738156644,11.416617476369195,0.7638847212298211,HOLD,HOLD,HOLD,HOLD
DOT-USD,34.430008385022994,3.91457,0.5959520961506709,55.974307040956035,9.430008385022992,0.6772368370888355,HOLD,HOLD,HOLD,HOLD
DOGE-USD,34.19256868612164,0.170081,0.7292110696964602,56.17425108621084,9.19256868612164,0.6616677044562623,HOLD,HOLD,HOLD,HOLD
ETH-USD,33.93562054096554,1806.58,0.7088788520978103,76.38627675420679,11.363593174869969,0.30185721687931133,HOLD,HOLD,HOLD,HOLD
SHIB-USD,33.01362640927894,1.269e-05,0.6906306058738124,53.06122448979591,8.01362640927894,0.4352245896496077,HOLD,HOLD,HOLD,HOLD
XRP-USD,31.827547279730915,2.122765,0.5842636713977274,54.04065443728306,6.827547279730917,0.4721684800360677,HOLD,HOLD,HOLD,HOLD
XTZ-USD,28.889004021381147,0.543293,0.532686218313515,60.33973097985009,3.8890040213811483,0.41416120183565536,HOLD,HOLD,HOLD,HOLD
OGN-USD,26.48828529398954,54.46700110174575,0.31390632657102674,21.070288236062737,0.0,0.9578729539836215,HOLD,HOLD,HOLD,HOLD
EOS-USD,26.22564232635948,67.93580469841953,0.2369273971175225,61.96273133375439,0.0,1.2451284652718961,HOLD,HOLD,HOLD,HOLD
ATOM-USD,25.940335105122788,146.8231070203574,0.22832578820401248,71.66946997358973,0.0,1.2437160201442152,HOLD,HOLD,HOLD,HOLD
ALGO-USD,25.938979427162664,126.58211634362966,0.21755361181127758,49.90128933322876,0.0,1.187795885432533,HOLD,HOLD,HOLD,HOLD
NU-USD,25.78117662819258,104.87346316699889,0.24056783581866084,68.56786401454966,0.0,1.1562353256385158,HOLD,HOLD,HOLD,HOLD
AXS-USD,25.763227335602593,67.67302721803495,0.3105651164048154,61.47067009936309,0.0,1.1526454671205182,HOLD,HOLD,HOLD,HOLD
HBAR-USD,25.321300373045318,135.59677253553917,0.21320458843635617,72.96208333478778,0.0,1.162996185768656,HOLD,HOLD,HOLD,HOLD
MANA-USD,25.09287754411439,120.50586383473298,0.2766470980210404,43.43443490394768,0.0,1.018575508822878,HOLD,HOLD,HOLD,HOLD
BAND-USD,25.08646290821414,113.18091303293384,0.21024293492341625,66.67740249104162,0.0,1.0172925816428284,HOLD,HOLD,HOLD,HOLD
XLM-USD,25.0,76.62339957419002,0.29316172330694545,60.093717017007364,0.0,0.9457830148640713,HOLD,HOLD,HOLD,HOLD
VET-USD,25.0,68.94742076690498,0.30551436465978854,53.5074158589942,0.0,0.9796310978547691,HOLD,HOLD,HOLD,HOLD
SAND-USD,25.0,133.2744056019366,0.16575476867974137,61.39611297998752,0.0,0.7598040847539826,HOLD,HOLD,HOLD,HOLD
