Symbol,Score,Price,Volatility,RSI,Recent Trend,Volume Trend,MovingAverage Signal,LSTM Signal,MSI Signal,Transformer Signal
UNH,28.998939595415848,404.81,0.9135198079419085,6.048328751266055,0,1.0013988774587053,HOLD,HOLD,HOLD,HOLD
SBUX,27.067539433980002,81.66,0.5741214030294043,41.68475900998696,0,1.413507886796,HOLD,HOLD,HOLD,HOLD
ETSY,26.83852733860955,45.08,0.5237339685105523,56.116338751069286,0,1.3677054677219096,HOLD,HOLD,HOLD,HOLD
TDOC,26.793667371275166,7.15,0.6194312579597724,48.00000000000001,0,1.3587334742550332,HOLD,HOLD,HOLD,HOLD
LLY,26.15782378786365,821.46,0.7760621220969635,58.736688624469494,0,1.23156475757273,HOLD,HOLD,HOLD,HOLD
ABNB,25.91312566673975,124.89,0.6363001820487755,72.67780800621841,0,1.271885400221897,HOLD,HOLD,HOLD,HOLD
QCOM,25.605744007632524,139.44,0.7691139997102504,50.32224800206238,0,1.1211488015265043,HOLD,HOLD,HOLD,HOLD
GM,25.553912111136064,45.38,0.4144685928900693,51.75953079178886,0,1.1107824222272125,HOLD,HOLD,HOLD,HOLD
MSFT,25.35366860418601,436.17,0.5242739447002975,72.57281553398059,0,1.1564942386365547,HOLD,HOLD,HOLD,HOLD
HON,25.325265956590425,214.25,0.449232851157168,67.52628943415121,0,1.065053191318085,HOLD,HOLD,HOLD,HOLD
RBLX,25.303740236589437,71.82,0.5544995791459623,87.63250883392224,0,1.6484983417819623,HOLD,HOLD,HOLD,HOLD
MCD,25.123830042925164,315.72,0.20578050631492759,49.60647627614126,0,1.0247660085850323,HOLD,HOLD,HOLD,HOLD
PFE,25.054288116422995,23.87,0.3289386111592842,68.81720430107525,0,1.0108576232845987,HOLD,HOLD,HOLD,HOLD
AAPL,25.0,198.89,0.7096031270968373,46.32367834717437,0,0.8258373090806966,HOLD,HOLD,HOLD,HOLD
GOOGL,25.0,164.21,0.4652304432785066,57.50145942790428,0,0.7369917148164097,HOLD,HOLD,HOLD,HOLD
AMZN,25.0,186.35,0.6044656416463241,54.17406749555949,0,0.9579819103443341,HOLD,HOLD,HOLD,HOLD
TSLA,25.0,280.26,1.0649936896899341,61.82126217704362,0,0.8441698058784326,HOLD,HOLD,HOLD,HOLD
NVDA,25.0,113.82,0.8582993890943423,53.90605375533785,0,0.6376320426574029,HOLD,HOLD,HOLD,HOLD
V,25.0,348.64,0.3732709187687179,62.927391471379195,0,0.8883558953760045,HOLD,HOLD,HOLD,HOLD
PG,25.0,158.83,0.27146681385303145,32.94701986754971,0,0.8334542012658517,HOLD,HOLD,HOLD,HOLD
HD,25.0,361.73,0.30748649187233984,53.86057610363051,0,0.8123409457005294,HOLD,HOLD,HOLD,HOLD
CRM,25.0,272.63,0.48109608648181545,63.963546493666946,0,0.6337549482704598,HOLD,HOLD,HOLD,HOLD
AVGO,25.0,200.72,0.8324011798231068,69.86496090973704,0,0.6161496239331802,HOLD,HOLD,HOLD,HOLD
CSCO,25.0,59.32,0.4080683225358509,61.92259675405746,0,0.7020274750931109,HOLD,HOLD,HOLD,HOLD
VZ,25.0,43.54,0.23724931843786784,45.18987341772154,0,0.7031552864819843,HOLD,HOLD,HOLD,HOLD
COST,25.0,1014.89,0.30211753291614835,62.73358631058922,0,0.7034365948425171,HOLD,HOLD,HOLD,HOLD
ABT,25.0,132.6,0.21065629902817998,64.06060606060608,0,0.8811469011339569,HOLD,HOLD,HOLD,HOLD
MRK,25.0,82.84,0.3584650530771191,62.59437199725461,0,0.7389516852983933,HOLD,HOLD,HOLD,HOLD
INTC,25.0,20.27,0.929330620925013,49.73474801061009,0,0.6177647421207294,HOLD,HOLD,HOLD,HOLD
WMT,25.0,99.33,0.41051200155116363,65.54054054054052,0,0.68925314215251,HOLD,HOLD,HOLD,HOLD
CMCSA,25.0,34.45,0.39503901177137557,52.33644859813087,0,0.8361399843539399,HOLD,HOLD,HOLD,HOLD
XOM,25.0,103.27,0.38325662221534385,49.65635738831614,0,0.9012392104798526,HOLD,HOLD,HOLD,HOLD
T,25.0,27.51,0.23892295885892356,53.276955602537015,0,0.7385393508178208,HOLD,HOLD,HOLD,HOLD
ORCL,25.0,149.29,0.6095160127526622,67.73178407165338,0,0.8431338227446762,HOLD,HOLD,HOLD,HOLD
NKE,25.0,57.35,0.6154279832949104,57.60188087774297,0,0.6324227958662769,HOLD,HOLD,HOLD,HOLD
AMD,25.0,100.59,1.060944503712976,60.828591749644396,0,0.6902248790959936,HOLD,HOLD,HOLD,HOLD
TXN,25.0,162.42,0.8117999415086372,64.39355812783089,0,0.5684876984870172,HOLD,HOLD,HOLD,HOLD
IBM,25.0,249.18,0.4181915129846857,59.00676397294412,0,0.7408093338294529,HOLD,HOLD,HOLD,HOLD
MMM,25.0,140.8,0.5268957457571041,57.28627928202011,0,0.6071154388910719,HOLD,HOLD,HOLD,HOLD
