Strategy,Asset,Asset Type,Timeframe,Initial Capital,Final Capital,Total Return (%),Annualized Return (%),Sharpe Ratio,Max Drawdown (%),Trades
MovingAverage,AAPL,stock,day,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,AAPL,stock,day,10000,10000,0.0,0.0,0,0.0,0
LSTM,AAPL,stock,day,10000,10000,0.0,0.0,0,0.0,0
LLM,AAPL,stock,day,10000,10000,0.0,0.0,0,0.0,0
Transformer,AAPL,stock,day,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,MSFT,stock,day,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,MSFT,stock,day,10000,10000,0.0,0.0,0,0.0,0
LSTM,MSFT,stock,day,10000,10000,0.0,0.0,0,0.0,0
LLM,MSFT,stock,day,10000,10000,0.0,0.0,0,0.0,0
Transformer,MSFT,stock,day,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,GOOGL,stock,day,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,GOOGL,stock,day,10000,10000,0.0,0.0,0,0.0,0
LSTM,GOOGL,stock,day,10000,10000,0.0,0.0,0,0.0,0
LLM,GOOGL,stock,day,10000,10000,0.0,0.0,0,0.0,0
Transformer,GOOGL,stock,day,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,AMZN,stock,day,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,AMZN,stock,day,10000,10000,0.0,0.0,0,0.0,0
LSTM,AMZN,stock,day,10000,10000,0.0,0.0,0,0.0,0
LLM,AMZN,stock,day,10000,10000,0.0,0.0,0,0.0,0
Transformer,AMZN,stock,day,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,TSLA,stock,day,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,TSLA,stock,day,10000,10000,0.0,0.0,0,0.0,0
LSTM,TSLA,stock,day,10000,10000,0.0,0.0,0,0.0,0
LLM,TSLA,stock,day,10000,10000,0.0,0.0,0,0.0,0
Transformer,TSLA,stock,day,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,BTC-USD,crypto,day,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,BTC-USD,crypto,day,10000,10000,0.0,0.0,0,0.0,0
LSTM,BTC-USD,crypto,day,10000,10000,0.0,0.0,0,0.0,0
LLM,BTC-USD,crypto,day,10000,10000,0.0,0.0,0,0.0,0
