Symbol,Strategy,Initial Capital,Final Capital,Total Return,Annualized Return,Sharpe Ratio,Max Drawdown,Trades
AAPL,MovingAverage,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
AAPL,MovingAverage_ML,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
AAPL,LSTM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
AAPL,LLM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,"[{'timestamp': 20, 'action': 'BUY', 'price': 216.86260813606066, 'quantity': 8.761307522447257, 'capital': 100.0}]"
AAPL,Transformer,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
MSFT,MovingAverage,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
MSFT,MovingAverage_ML,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
MSFT,LSTM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
MSFT,LLM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,"[{'timestamp': 20, 'action': 'BUY', 'price': 447.9429648327971, 'quantity': 4.241611430841893, 'capital': 100.0}]"
MSFT,Transformer,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
AMZN,MovingAverage,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
AMZN,MovingAverage_ML,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
AMZN,LSTM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
AMZN,LLM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,"[{'timestamp': 20, 'action': 'BUY', 'price': 208.4051901208625, 'quantity': 9.11685548185299, 'capital': 100.0}]"
AMZN,Transformer,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
GOOGL,MovingAverage,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
GOOGL,MovingAverage_ML,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
GOOGL,LSTM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
GOOGL,LLM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,"[{'timestamp': 20, 'action': 'BUY', 'price': 174.87961740191952, 'quantity': 10.86461663301389, 'capital': 99.99999999999977}]"
GOOGL,Transformer,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
TSLA,MovingAverage,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
TSLA,MovingAverage_ML,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
TSLA,LSTM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
TSLA,LLM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,"[{'timestamp': 20, 'action': 'BUY', 'price': 194.72393109097442, 'quantity': 9.757403670698933, 'capital': 100.00000000000023}]"
TSLA,Transformer,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
BTC-USD,MovingAverage,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
BTC-USD,MovingAverage_ML,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
BTC-USD,LSTM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
BTC-USD,LLM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,"[{'timestamp': 20, 'action': 'BUY', 'price': 151.44348196342048, 'quantity': 12.545934465894836, 'capital': 100.0}]"
BTC-USD,Transformer,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
ETH-USD,MovingAverage,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
ETH-USD,MovingAverage_ML,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
ETH-USD,LSTM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,0
ETH-USD,LLM,$2000.00,$0.00,0.00%,0.00%,0.00,0.00%,"[{'timestamp': 20, 'action': 'BUY', 'price': 67.73073141048785, 'quantity': 28.052258707866134, 'capital': 100.0}]"
