symbol,strategy,timeframe,initial_close,final_close,total_return_%,error
AAPL,MovingAverage,Day,190.0,208.93837475342372,9.967565659696692,
AAPL,MovingAverage_ML,Day,190.0,208.93837475342372,9.967565659696692,
AAPL,LSTM,Day,,,,Exception: single positional indexer is out-of-bounds
AAPL,LLM,Day,190.0,208.93837475342372,9.967565659696692,
AAPL,Transformer,Day,190.0,208.3240703829294,9.644247569962838,
AAPL,MSI,Day,190.0,208.93837475342372,9.967565659696692,
MSFT,MovingAverage,Day,410.0,439.0075027174922,7.075000662802969,
MSFT,MovingAverage_ML,Day,410.0,439.0075027174922,7.075000662802969,
MSFT,LSTM,Day,,,,Exception: single positional indexer is out-of-bounds
MSFT,LLM,Day,410.0,439.0075027174922,7.075000662802969,
MSFT,Transformer,Day,410.0,436.8808701763808,6.556309799117274,
MSFT,MSI,Day,410.0,439.0075027174922,7.075000662802969,
GOOGL,MovingAverage,Day,160.0,166.99259431172553,4.370371444828454,
GOOGL,MovingAverage_ML,Day,160.0,166.99259431172553,4.370371444828454,
GOOGL,LSTM,Day,,,,Exception: single positional indexer is out-of-bounds
GOOGL,LLM,Day,160.0,166.99259431172553,4.370371444828454,
GOOGL,Transformer,Day,160.0,163.79071674485053,2.36919796553158,
GOOGL,MSI,Day,160.0,166.99259431172553,4.370371444828454,
BTC-USD,MovingAverage,Day,42000.0,46484.104105350445,10.676438346072487,
BTC-USD,MovingAverage_ML,Day,42000.0,46484.104105350445,10.676438346072487,
BTC-USD,LSTM,Day,,,,Exception: single positional indexer is out-of-bounds
BTC-USD,LLM,Day,42000.0,46484.104105350445,10.676438346072487,
BTC-USD,Transformer,Day,42000.0,45346.98112845168,7.969002686789723,
BTC-USD,MSI,Day,42000.0,46484.104105350445,10.676438346072487,
ETH-USD,MovingAverage,Day,2200.0,2091.3276035170097,-4.939654385590467,
ETH-USD,MovingAverage_ML,Day,2200.0,2091.3276035170097,-4.939654385590467,
ETH-USD,LSTM,Day,,,,Exception: single positional indexer is out-of-bounds
ETH-USD,LLM,Day,2200.0,2091.3276035170097,-4.939654385590467,
ETH-USD,Transformer,Day,2200.0,2025.8603937597693,-7.915436647283213,
ETH-USD,MSI,Day,2200.0,2091.3276035170097,-4.939654385590467,
AAPL,MovingAverage,Week,190.0,180.226779684172,-5.14380016622527,
AAPL,MovingAverage_ML,Week,190.0,180.226779684172,-5.14380016622527,
AAPL,LSTM,Week,,,,Exception: single positional indexer is out-of-bounds
AAPL,LLM,Week,190.0,180.226779684172,-5.14380016622527,
AAPL,Transformer,Week,,,,Exception: division by zero
AAPL,MSI,Week,190.0,180.226779684172,-5.14380016622527,
MSFT,MovingAverage,Week,410.0,417.1475269942029,1.7432992668787575,
MSFT,MovingAverage_ML,Week,410.0,417.1475269942029,1.7432992668787575,
MSFT,LSTM,Week,,,,Exception: single positional indexer is out-of-bounds
MSFT,LLM,Week,410.0,417.1475269942029,1.7432992668787575,
MSFT,Transformer,Week,,,,Exception: division by zero
MSFT,MSI,Week,410.0,417.1475269942029,1.7432992668787575,
GOOGL,MovingAverage,Week,160.0,170.41213945865232,6.507587161657699,
GOOGL,MovingAverage_ML,Week,160.0,170.41213945865232,6.507587161657699,
GOOGL,LSTM,Week,,,,Exception: single positional indexer is out-of-bounds
GOOGL,LLM,Week,160.0,170.41213945865232,6.507587161657699,
GOOGL,Transformer,Week,,,,Exception: division by zero
GOOGL,MSI,Week,160.0,170.41213945865232,6.507587161657699,
BTC-USD,MovingAverage,Week,42000.0,46480.50047754744,10.667858279874851,
BTC-USD,MovingAverage_ML,Week,42000.0,46480.50047754744,10.667858279874851,
BTC-USD,LSTM,Week,,,,Exception: single positional indexer is out-of-bounds
BTC-USD,LLM,Week,42000.0,46480.50047754744,10.667858279874851,
BTC-USD,Transformer,Week,42000.0,45252.29454318282,7.74355843614957,
BTC-USD,MSI,Week,42000.0,46480.50047754744,10.667858279874851,
ETH-USD,MovingAverage,Week,2200.0,2011.364570332512,-8.57433771215855,
ETH-USD,MovingAverage_ML,Week,2200.0,2011.364570332512,-8.57433771215855,
ETH-USD,LSTM,Week,,,,Exception: single positional indexer is out-of-bounds
ETH-USD,LLM,Week,2200.0,2011.364570332512,-8.57433771215855,
ETH-USD,Transformer,Week,2200.0,2030.60558486329,-7.699746142577727,
ETH-USD,MSI,Week,2200.0,2011.364570332512,-8.57433771215855,
