2025-05-04 00:20:01,673 - stock_daytrader - INFO - Démarrage du script de day trading. Appuyez sur Ctrl+C pour arrêter proprement.
2025-05-04 00:20:01,675 - stock_daytrader - INFO - Rafraîchissement de la liste des symboles via get_all_symbols.py...
2025-05-04 00:20:17,052 - stock_daytrader - INFO - Liste des symboles rafraîchie avec succès
2025-05-04 00:20:17,053 - stock_daytrader - INFO - Configuré pour le trading PAPER (simulation)
2025-05-04 00:20:17,053 - stock_daytrader - INFO - Utilisation du niveau d'abonnement Alpaca: 1
2025-05-04 00:20:17,053 - stock_daytrader - INFO - StockDayTrader initialisé
2025-05-04 00:20:17,055 - stock_daytrader - INFO - Mode continu activé: le script fonctionnera indéfiniment
2025-05-04 00:20:17,055 - stock_daytrader - INFO - Démarrage de la session de trading d'actions à 2025-05-04 00:20:17.055627
2025-05-04 00:20:17,055 - stock_daytrader - INFO - La session se terminera à 2026-05-04 00:20:17.055627
2025-05-04 00:20:17,411 - stock_daytrader - INFO - Compte Alpaca connecté: d29afe2e-797a-4d61-a8a7-009bd118d255
2025-05-04 00:20:17,411 - stock_daytrader - INFO - Valeur initiale du portefeuille: $99397.75
2025-05-04 00:20:17,413 - stock_daytrader - INFO - Mode trading: ACTIVE
2025-05-04 00:20:18,233 - stock_daytrader - INFO - Récupéré 10 symboles selon le filtre: active_assets
2025-05-04 00:20:18,239 - stock_daytrader - ERROR - Erreur lors de l'initialisation des services Mercurio: name 'MarketDataService' is not defined
2025-05-04 00:20:18,240 - stock_daytrader - WARNING - Utilisation du mode natif Alpaca (sans services Mercurio)
2025-05-04 00:20:18,240 - stock_daytrader - INFO - ===== Cycle de trading #1 =====
2025-05-04 00:20:18,364 - stock_daytrader - INFO - Le marché est fermé. Prochaine ouverture à 2025-05-05 09:30:00
2025-05-04 00:20:18,365 - stock_daytrader - INFO - Attente de 30 minutes avant la prochaine vérification
2025-05-04 00:20:36,119 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:36,560 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:36,777 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:36,962 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:37,128 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:37,636 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:37,671 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:37,702 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:37,734 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:37,767 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:37,801 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:37,834 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:37,866 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:37,898 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:37,931 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:37,963 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:37,996 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:38,029 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:38,063 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:38,093 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:38,126 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:38,159 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:38,193 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:38,226 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:38,258 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:38,291 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:38,322 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
2025-05-04 00:20:38,358 - stock_daytrader - INFO - Signal d'arrêt reçu, arrêt en cours...
